cve,announce_date,cwe_ids,cwe_names,subject
CVE-2026-18536,"01 Aug 2026 10:38 UTC",CWE-319;CWE-353,"Cleartext Transmission of Sensitive Information;Missing Support for Integrity Check","CVE-2026-18536: Data::Entropy versions before 0.010 for Perl read remote entropy sources over plain HTTP"
CVE-2026-56016,"01 Jul 2026 06:47 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-56016: CGI::Session::ID::md5 versions before 4.49 for Perl generate predictable session ids from low-entropy sources"
CVE-2025-15646,"01 Jul 2026 14:40 UTC",CWE-843;CWE-125,"Access of Resource Using Incompatible Type (Type Confusion);Out-of-bounds Read","CVE-2025-15646: HTML::Gumbo versions before 0.19 for Perl disclose heap memory via type confusion"
CVE-2026-81928,"01 Sep 2026 23:23 UTC",CWE-674,"Uncontrolled Recursion","CVE-2026-81928: Net::DNS versions before 1.57 for Perl allow memory exhaustion via unbounded recursion in sig_data when re-encoding a message with a misplaced TSIG record"
CVE-2026-18089,"03 Aug 2026 12:44 UTC",CWE-347;CWE-295,"Improper Verification of Cryptographic Signature;Improper Certificate Validation","CVE-2026-18089: Net::SAML2 versions before 0.86 for Perl allow SAML authentication bypass by verifying responses against the response-embedded certificate in verify_xml when no trust anchor is configured"
CVE-2026-18108,"03 Aug 2026 13:05 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-18108: Net::SAML2 versions before 0.86 for Perl allow authentication bypass because _verify_encrypted_assertion accepts an EncryptedAssertion whose decrypted content carries no signature"
CVE-2026-9390,"03 Aug 2026 13:11 UTC",CWE-643;CWE-1287,"Improper Neutralization of Data within XPath Expressions;Improper Validation of Specified Type of Input","CVE-2026-9390: XML::Sig versions before 0.71 for Perl allow XPath injection in ID lookup"
CVE-2026-18092,"03 Aug 2026 13:26 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-18092: Net::SAML2 versions before 0.86 for Perl allow SAML authentication bypass via XML signature wrapping because new_from_xml reads assertion identity with document-wide XPath instead of the signed subtree"
CVE-2026-9487,"03 Aug 2026 13:42 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-9487: XML::Sig versions before 0.71 for Perl allow signature wrapping via duplicate ID"
CVE-2026-18568,"03 Aug 2026 14:40 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-18568: XML::Sig versions from 0.29 before 0.72 for Perl allow signature verification bypass because verify returns true when every signature was skipped before any cryptographic check"
CVE-2026-56015,"03 Jul 2026 12:57 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-56015: Net::IP::LPM versions through 1.10 for Perl allow a heap out-of-bounds read via an unbounded prefix length"
CVE-2026-9334,"03 Jun 2026 00:32 UTC",CWE-843,"Access of Resource Using Incompatible Type ('Type Confusion')","CVE-2026-9334: Cpanel::JSON::XS versions before 4.41 for Perl allow type confusion via duplicate object keys when dupkeys_as_arrayref is enabled"
CVE-2026-9516,"03 Jun 2026 00:34 UTC",CWE-763;CWE-755,"Release of Invalid Pointer or Reference;Improper Handling of Exceptional Conditions","CVE-2026-9516: Cpanel::JSON::XS versions before 4.41 for Perl allow denial of service via UTF-8 BOM prefixed input when a decode filter callback throws"
CVE-2026-8722,"03 Jun 2026 23:48 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-8722: Net::Async::Statsd::Client versions through 0.005 for Perl allow metric injections"
CVE-2026-40561,"03 May 2026 00:58 UTC",CWE-444,"Inconsistent Interpretation of HTTP Requests ('HTTP","CVE-2026-40561: Starlet versions through 0.31 for Perl allows HTTP Request Smuggling via Improper Header Precedence"
CVE-2026-66901,"04 Aug 2026 20:50 UTC",CWE-918;CWE-201,"Server-Side Request Forgery (SSRF);Insertion of Sensitive Information Into Sent Data","CVE-2026-66901: Google::Auth versions before 0.09 for Perl allow server side request forgery and credential exfiltration via unvalidated URLs taken from the credentials JSON"
CVE-2026-66902,"04 Aug 2026 20:52 UTC",CWE-78;CWE-829,"Improper Neutralization of Special Elements used in an OS;Inclusion of Functionality from Untrusted Control Sphere","CVE-2026-66902: Google::Auth versions before 0.06 for Perl run a command named in an external_account credentials JSON via an ungated system call"
CVE-2026-12746,"04 Jul 2026 17:55 UTC",CWE-352,"Cross-Site Request Forgery (CSRF)","CVE-2026-12746: Dancer2::Plugin::Auth::OAuth::Provider versions before 0.23 for Perl do not support the OAuth 2.0 state parameter"
CVE-2026-12740,"04 Jul 2026 17:59 UTC",CWE-352,"Cross-Site Request Forgery (CSRF)","CVE-2026-12740: Plack::Middleware::OAuth versions through 0.10 for Perl do not support the OAuth 2.0 state parameter"
CVE-2026-8829,"04 Jun 2026 02:09 UTC",CWE-416,"Use After Free","CVE-2026-8829: HTML::Entities versions before 3.84 for Perl read freed heap memory in _decode_entities"
CVE-2026-46739,"04 Jun 2026 15:47 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-46739: Net::Statsd versions before 0.13 for Perl allow metric injections"
CVE-2026-46741,"04 Jun 2026 15:55 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-46741: Etsy::StatsD versions through 1.002002 for Perl allow metric injections"
CVE-2026-49940,"04 Jun 2026 16:09 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-49940: Net::CIDR::Set versions through 0.20 for Perl accept non-ASCII IP addresses and netmasks"
CVE-2026-49941,"04 Jun 2026 16:10 UTC",CWE-1287;CWE-674,"Improper Validation of Specified Type of Input;Uncontrolled Recursion","CVE-2026-49941: Net::CIDR::Set versions through 0.20 for Perl did not validate IP addresses"
CVE-2026-49942,"04 Jun 2026 16:11 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-49942: Net::CIDR::Set versions through 0.20 for Perl did not validate network masks"
CVE-2026-82309,"04 Sep 2026 12:22 UTC",CWE-770;CWE-405,"Allocation of Resources Without Limits or Throttling;Asymmetric Resource Consumption (Amplification)","CVE-2026-82309: Robots::Validate versions from 0.3.2 before 0.3.11 for Perl allow unbounded outbound DNS queries per validation via a forward-confirmation loop that does not bound the names it queries"
CVE-2026-14570,"05 Jul 2026 01:33 UTC",CWE-330,"Use of Insufficiently Random Values","CVE-2026-14570: Crypt::DSA versions before 1.22 for Perl draw the DSA signing nonce and private key from a biased random generator, leading to private-key recovery"
